aX,aY,aZ,gX,gY,gZ
0.227,0.018,0.996,1.770,-4.517,-3.906
0.239,0.016,1.003,2.991,-6.165,-4.395
0.248,0.020,1.020,4.272,-7.446,-4.028
0.279,0.031,1.053,5.188,-10.132,-3.113
0.321,0.021,1.113,5.859,-13.489,-1.282
0.348,-0.012,1.220,5.066,-19.409,3.540
0.361,-0.063,1.369,-1.465,-26.489,14.771
0.333,-0.150,1.570,-17.639,-31.433,33.630
0.299,-0.156,1.760,-50.720,-29.846,58.350
0.308,-0.116,1.879,-101.624,-21.667,83.984
0.286,0.117,2.010,-164.001,-10.681,110.107
0.286,0.666,2.122,-232.300,10.132,132.751
0.228,1.399,2.214,-291.321,40.405,143.799
0.215,2.425,2.166,-333.862,80.750,141.052
0.252,3.432,2.057,-338.928,123.169,118.408
0.359,4.000,1.900,-302.307,158.936,74.036
0.420,4.000,1.654,-238.586,186.157,8.606
0.334,4.000,1.381,-155.273,204.163,-71.594
0.292,4.000,1.108,-69.824,218.018,-154.175
0.312,3.952,0.771,-12.146,224.304,-233.704
0.363,3.575,0.441,17.944,221.985,-310.486
0.320,3.053,0.235,20.508,199.707,-384.277
0.168,2.432,0.172,-5.005,163.940,-449.158
-0.130,1.890,0.304,-45.898,122.742,-503.967
-0.523,1.456,0.513,-89.783,84.900,-549.683
-1.058,1.001,0.838,-124.390,56.641,-584.778
-1.726,0.361,1.209,-145.813,45.532,-606.689
-2.363,-0.248,1.592,-167.358,58.899,-612.122
-2.941,-0.746,1.808,-176.392,96.985,-597.778
-3.089,-1.045,1.528,-161.743,143.982,-553.711
-2.821,-1.232,1.071,-141.724,170.654,-503.418
-2.358,-1.545,0.896,-129.211,154.724,-466.614
-1.994,-2.207,1.007,-131.958,105.774,-417.480
-1.755,-2.744,1.149,-164.368,60.425,-336.426
-1.679,-2.666,1.111,-218.384,35.217,-250.183
-1.481,-2.340,1.005,-259.216,23.193,-183.289
-1.119,-2.101,0.882,-269.348,19.409,-135.315
-0.613,-1.955,0.754,-251.038,18.677,-101.074
0.020,-1.862,0.778,-206.177,13.916,-81.848
0.437,-1.702,0.953,-137.878,0.854,-73.975
0.309,-1.415,1.153,-49.927,-13.367,-61.096
-0.135,-1.096,1.263,38.147,-13.000,-29.602
-0.322,-0.877,1.107,90.271,14.526,9.644
-0.113,-0.766,0.831,90.515,52.551,44.739
0.180,-0.549,0.488,47.546,78.430,75.745
0.390,-0.155,0.166,-12.512,84.595,101.501
0.570,0.286,-0.080,-58.350,74.402,119.385
0.754,0.580,-0.178,-85.632,47.852,126.160
0.903,0.739,-0.166,-98.450,17.517,122.192
1.015,0.799,-0.036,-102.295,-15.564,103.882
1.086,0.798,0.193,-93.872,-45.288,71.594
1.051,0.796,0.489,-72.021,-72.083,35.034
0.872,0.709,0.846,-36.743,-87.708,3.174
0.641,0.552,1.155,-1.770,-84.412,-23.621
0.518,0.394,1.306,26.123,-62.988,-49.255
0.498,0.205,1.271,47.363,-32.288,-72.388
0.573,-0.010,1.098,62.012,0.244,-89.966
0.645,-0.203,0.905,68.054,23.071,-99.609
0.700,-0.332,0.691,69.580,36.438,-99.182
0.747,-0.451,0.536,64.880,37.109,-92.712
0.756,-0.542,0.448,55.603,30.212,-79.834
0.756,-0.582,0.407,39.551,18.921,-61.462
0.766,-0.551,0.422,19.775,5.371,-39.795
0.760,-0.495,0.497,0.427,-6.958,-16.602
0.772,-0.408,0.595,-16.846,-15.991,3.845
0.760,-0.276,0.686,-32.288,-22.339,21.851
0.734,-0.127,0.764,-41.931,-22.644,33.875
0.725,0.011,0.831,-46.448,-20.813,37.048
0.734,0.123,0.862,-44.556,-13.489,33.997
0.750,0.218,0.833,-39.917,-6.348,27.588
0.769,0.282,0.792,-29.541,0.061,17.700
0.784,0.306,0.736,-15.015,4.883,5.798
0.798,0.257,0.670,-1.953,5.737,-7.019
0.833,0.191,0.615,8.667,5.371,-19.958
0.849,0.136,0.568,13.489,1.282,-30.762
0.822,0.090,0.558,14.221,-4.150,-38.391
0.782,0.029,0.587,13.000,-10.071,-45.044
0.744,-0.069,0.629,10.254,-14.648,-49.805
0.708,-0.160,0.671,6.042,-15.869,-51.147
0.643,-0.184,0.720,3.845,-14.709,-47.852
