aX,aY,aZ,gX,gY,gZ
0.921,0.125,0.279,3.662,-12.268,7.019
0.917,0.127,0.284,5.615,-12.634,6.836
0.915,0.127,0.290,6.165,-13.062,6.226

-0.543,0.217,0.779,-2.014,-7.690,-0.366
-0.546,0.218,0.778,-2.625,-9.155,0.122
-0.551,0.220,0.790,-1.282,-8.972,1.343
-0.559,0.222,0.798,-0.366,-7.751,1.770
-0.564,0.219,0.802,0.854,-5.798,2.563
-0.567,0.224,0.811,0.916,-4.639,3.113
-0.569,0.223,0.811,0.732,-2.686,2.625
-0.574,0.216,0.798,0.366,-1.770,2.197
-0.569,0.213,0.788,0.122,-2.136,1.770
-0.569,0.220,0.793,-0.183,-3.906,2.258
-0.574,0.227,0.797,-0.427,-2.869,2.197
-0.576,0.234,0.800,-1.648,-4.883,2.380
-0.583,0.239,0.810,0.000,-3.174,2.441
-0.587,0.238,0.820,0.427,-3.601,2.441
-0.586,0.231,0.822,1.587,-0.427,2.808
-0.581,0.230,0.812,1.404,-0.671,3.235
-0.573,0.230,0.801,3.357,2.441,4.272
-0.568,0.233,0.791,2.869,3.662,4.150
-0.566,0.239,0.784,1.099,0.916,3.967
-0.568,0.249,0.784,1.465,2.441,3.967
-0.572,0.255,0.788,0.244,1.587,3.296
-0.578,0.258,0.794,0.549,1.587,3.052
-0.578,0.254,0.792,1.404,3.296,2.319
-0.569,0.247,0.790,0.732,1.282,1.770
-0.566,0.235,0.790,1.648,3.540,1.526
-0.565,0.225,0.790,-0.122,2.930,1.221
-0.566,0.217,0.802,-0.427,2.258,1.709
-0.571,0.215,0.811,-0.671,3.540,2.136
-0.577,0.216,0.815,-1.831,2.197,2.808
-0.586,0.226,0.819,-1.587,4.578,3.601
-0.599,0.254,0.829,-3.235,4.028,4.395
-0.612,0.282,0.832,-4.639,4.395,4.517
-0.632,0.324,0.854,-4.944,4.700,3.906
-0.666,0.352,0.878,-6.531,2.991,2.197
-0.725,0.373,0.935,-8.301,2.563,1.221
-0.793,0.409,1.004,-12.390,3.906,0.122
-0.895,0.498,1.062,-15.564,5.188,1.770
-1.054,0.564,1.179,-12.390,9.827,4.822
-1.305,0.716,1.408,-14.893,14.221,8.118
-1.580,0.979,1.711,-19.897,30.457,11.169
-1.895,1.230,1.990,-14.709,58.228,12.146
-2.132,1.397,2.187,-2.075,94.177,4.578
-2.252,1.439,2.281,9.460,133.301,-11.658
-2.322,1.425,2.300,11.780,173.645,-34.607
-2.377,1.332,2.308,11.353,218.079,-63.416
-2.430,1.196,2.352,12.085,261.963,-93.323
-2.486,1.029,2.366,12.817,311.218,-120.605
-2.513,0.816,2.260,9.460,365.967,-145.874
-2.500,0.669,2.122,-1.404,420.166,-170.288
-2.492,0.508,1.945,-13.611,470.459,-194.763
-2.439,0.332,1.795,-25.818,509.521,-219.482
-2.373,0.172,1.555,-32.593,541.565,-239.258
-2.235,-0.004,1.182,-26.550,567.383,-252.747
-2.110,-0.151,0.777,-8.423,578.186,-257.507
-1.936,-0.288,0.431,22.095,574.890,-251.709
-1.723,-0.474,0.090,55.298,567.261,-242.432
-1.572,-0.694,-0.257,81.665,559.631,-230.774
-1.406,-0.880,-0.531,97.351,550.537,-214.783
-1.205,-1.022,-0.784,101.501,542.847,-201.599
-1.050,-1.104,-1.026,94.910,532.288,-185.364
-0.852,-1.180,-1.207,86.121,512.573,-163.696
-0.622,-1.205,-1.364,72.510,485.291,-139.709
-0.368,-1.146,-1.513,54.810,456.116,-111.877
-0.029,-1.095,-1.715,34.485,422.791,-85.388
0.309,-1.049,-1.931,10.986,383.728,-62.012
0.609,-0.984,-2.081,-17.334,334.106,-43.213
0.868,-0.880,-2.139,-49.255,272.461,-26.855
1.032,-0.753,-2.038,-78.064,204.895,-10.864
1.073,-0.602,-1.836,-102.112,144.409,2.197
1.000,-0.460,-1.652,-114.685,100.220,15.503
0.933,-0.312,-1.469,-112.915,67.017,27.710
0.885,-0.178,-1.277,-105.347,41.443,34.241
0.871,-0.075,-1.146,-98.633,25.452,34.790
0.870,-0.002,-1.068,-87.341,15.747,32.104
0.902,0.055,-0.980,-71.655,7.812,29.114
0.930,0.080,-0.898,-53.833,2.625,25.208
0.989,0.083,-0.842,-40.649,-1.160,17.700
1.032,0.057,-0.796,-26.245,-6.042,11.841
1.036,0.030,-0.733,-12.634,-13.428,8.301
1.051,0.001,-0.631,-0.549,-23.560,7.080
1.050,-0.028,-0.535,10.010,-34.180,8.118
1.042,-0.024,-0.417,17.456,-44.861,10.010
1.001,-0.019,-0.268,22.827,-53.894,12.512
0.952,-0.005,-0.115,23.132,-58.655,13.306
0.922,0.011,0.021,21.301,-57.739,12.451
0.923,0.019,0.103,18.433,-52.734,11.414
0.932,0.026,0.150,15.747,-47.241,10.315
0.944,0.045,0.172,13.489,-42.908,10.498
0.961,0.063,0.196,11.414,-40.588,11.169
0.980,0.077,0.227,9.766,-40.833,12.024
0.976,0.104,0.261,6.592,-41.504,13.489
0.961,0.129,0.308,5.127,-40.771,14.587
0.935,0.138,0.312,3.052,-37.842,15.564
0.941,0.244,0.315,1.770,-34.485,15.259
0.903,0.158,0.281,11.597,-33.691,31.982
0.912,0.248,0.311,14.587,-32.166,22.522
0.898,0.265,0.308,11.780,-26.611,13.123
0.900,0.241,0.300,17.822,-21.729,10.864
0.915,0.210,0.294,21.362,-17.273,4.639
0.928,0.170,0.277,24.353,-13.123,-0.610
0.947,0.122,0.261,26.917,-10.498,-2.747
0.956,0.085,0.245,26.672,-9.888,-4.700
0.966,0.054,0.236,26.123,-11.047,-5.371
0.967,0.039,0.237,25.269,-12.817,-4.822
0.959,0.036,0.245,24.475,-13.733,-3.967
0.959,0.030,0.239,23.193,-13.245,-3.845
0.956,0.017,0.233,21.362,-12.268,-4.211
0.960,0.002,0.229,18.921,-11.780,-4.761
0.966,-0.016,0.226,15.381,-11.169,-5.188
0.969,-0.031,0.236,11.230,-10.681,-5.249
0.973,-0.039,0.234,6.897,-9.644,-5.249
0.977,-0.034,0.223,4.211,-8.972,-3.906
0.983,-0.016,0.209,2.625,-9.216,-1.709
0.988,-0.004,0.192,2.869,-9.766,0.122
0.987,0.008,0.177,3.662,-11.536,2.014
0.983,0.022,0.173,4.517,-13.916,4.028
0.976,0.034,0.179,6.958,-15.869,5.493
0.967,0.039,0.187,9.094,-17.578,6.348
0.962,0.039,0.206,11.108,-18.005,6.409

-0.638,0.198,0.756,0.488,0.427,-1.221
-0.638,0.207,0.751,1.831,2.380,-1.282
-0.638,0.208,0.746,0.916,0.916,-1.587
-0.633,0.202,0.744,-0.671,-1.343,-2.808
-0.630,0.198,0.746,-1.953,-0.977,-4.211
-0.629,0.202,0.755,-1.953,0.061,-4.700
-0.633,0.201,0.762,-4.333,-2.075,-5.493
-0.632,0.200,0.764,-6.348,-2.075,-7.019
-0.631,0.207,0.768,-6.897,0.244,-7.507
-0.634,0.215,0.764,-8.484,-0.793,-8.057
-0.635,0.216,0.757,-10.498,-2.563,-9.338
-0.632,0.216,0.753,-12.207,-3.540,-10.742
-0.634,0.216,0.749,-12.756,-2.991,-11.230
-0.634,0.212,0.752,-10.864,-0.916,-11.169
-0.635,0.212,0.758,-9.399,-0.732,-10.071
-0.637,0.215,0.756,-8.850,-1.526,-8.789
-0.634,0.220,0.757,-8.179,-1.892,-7.751
-0.632,0.226,0.758,-7.019,0.061,-6.531
-0.630,0.225,0.752,-5.188,2.563,-5.371
-0.624,0.222,0.742,-3.235,4.211,-4.028
-0.615,0.224,0.729,-1.282,4.822,-2.502
