aX,aY,aZ,gX,gY,gZ
0.083,0.249,0.970,4.028,-2.380,1.648
0.081,0.251,0.967,5.737,-0.122,1.282
0.080,0.251,0.965,4.883,0.488,0.793
0.082,0.251,0.962,4.211,-0.122,0.793
0.078,0.254,0.962,3.113,-0.977,0.977
0.079,0.256,0.959,3.052,-2.075,1.099
0.077,0.257,0.959,4.150,-2.075,0.671
0.075,0.263,0.971,6.531,-2.075,0.671
0.075,0.280,0.999,11.536,-0.183,1.099
0.077,0.303,1.033,17.517,1.892,1.404
0.084,0.287,1.114,25.269,2.930,0.610
0.099,0.202,1.229,41.504,5.981,-0.916
0.099,0.057,1.406,76.416,11.108,-3.601
0.074,-0.175,1.594,136.536,17.029,-9.521
0.020,-0.464,1.835,230.225,27.466,-18.494
0.117,-0.627,2.071,348.938,40.894,-25.940
0.110,-0.865,2.251,476.318,49.866,-28.992
0.145,-1.132,2.347,596.802,61.218,-27.893
0.124,-1.450,2.399,710.510,72.083,-21.729
0.059,-1.750,2.339,819.763,80.505,-12.634
0.018,-1.885,2.191,921.692,74.768,2.747
-0.078,-1.984,1.968,994.385,53.406,27.893
-0.143,-2.019,1.718,1021.790,30.029,70.923
-0.136,-1.893,1.420,1003.418,9.949,118.164
-0.100,-1.673,1.145,954.041,-6.958,155.884
-0.026,-1.363,0.919,887.146,-15.442,185.669
0.014,-0.996,0.677,812.622,-15.015,206.848
0.008,-0.715,0.451,730.835,-5.798,211.731
0.012,-0.476,0.266,640.320,5.554,206.604
0.032,-0.387,0.194,539.795,15.015,195.557
-0.064,-0.314,0.067,427.124,23.682,184.509
-0.159,-0.250,-0.122,313.965,27.954,176.636
-0.205,-0.203,-0.186,219.299,19.653,174.255
-0.227,-0.065,-0.202,149.536,4.517,179.199
-0.237,0.114,-0.124,102.112,-20.752,184.265
-0.265,0.354,0.041,73.425,-52.246,184.021
-0.140,0.666,0.473,51.941,-87.097,176.331
-0.182,0.634,1.855,72.083,-107.727,144.348
0.474,1.701,2.431,85.693,-101.440,69.397
1.294,1.705,1.954,-73.486,-30.273,2.930
0.812,0.222,0.819,-145.386,62.378,-29.053
0.558,-0.285,0.212,-120.544,69.092,-13.550
0.481,-0.559,-0.148,-76.782,56.763,2.686
0.544,-0.649,-0.450,-32.959,42.358,-1.404
0.571,-0.738,-0.686,10.193,31.860,-7.874
0.560,-0.800,-0.796,28.442,21.362,-11.841
0.548,-0.907,-0.916,34.790,14.587,-13.672
0.536,-1.039,-0.930,38.574,8.118,-13.367
0.507,-1.124,-0.872,41.626,1.343,-7.690
0.502,-1.186,-0.757,44.800,-6.653,-0.427
0.508,-1.171,-0.619,46.570,-15.259,6.165
0.545,-1.017,-0.451,36.682,-23.621,12.146
0.589,-0.800,-0.206,11.902,-29.419,18.738
0.658,-0.547,0.013,-21.851,-27.100,24.597
0.710,-0.446,0.107,-56.763,-15.869,22.949
0.663,-0.506,-0.012,-75.195,-0.671,15.320
0.597,-0.585,-0.180,-70.862,7.080,8.606
0.568,-0.674,-0.282,-50.415,6.653,3.418
0.563,-0.710,-0.378,-28.442,6.226,1.587
0.571,-0.738,-0.446,-16.418,5.798,2.808
0.575,-0.750,-0.465,-11.169,5.615,5.798
0.562,-0.753,-0.477,-7.019,4.639,8.423
0.558,-0.744,-0.480,-3.418,2.441,9.521
0.552,-0.751,-0.463,-0.366,-0.610,9.277
0.564,-0.750,-0.440,0.671,-4.211,8.850
0.568,-0.743,-0.402,0.549,-7.874,8.667
0.576,-0.723,-0.376,0.610,-8.301,8.667
0.580,-0.710,-0.350,-1.709,-11.230,8.850
0.590,-0.702,-0.325,-1.953,-11.047,9.399
0.587,-0.699,-0.306,0.244,-10.315,9.827
0.589,-0.694,-0.302,5.859,-8.606,9.094
0.594,-0.698,-0.308,11.169,-6.531,7.324
0.596,-0.708,-0.315,13.550,-3.662,5.249
0.586,-0.729,-0.328,12.695,-0.488,3.662
0.577,-0.749,-0.339,8.789,0.366,3.174
0.569,-0.766,-0.347,5.737,0.183,3.357
0.566,-0.783,-0.360,3.845,2.075,3.235
0.562,-0.787,-0.364,-0.183,0.183,3.235
0.565,-0.790,-0.363,-2.136,0.366,3.662
